subjID, side, relpos, edgeID, weight
27,1,2,3,0.10913
28,1,2,3,0.061947
29,1,2,3,0.16009
30,1,2,3,0.098947
31,1,3,3,0.23296
32,1,3,3,0.26447
33,1,3,3,0.5169
34,1,3,3,0.092172
35,1,2,3,0.32443
36,1,3,3,0.17551
37,1,3,3,0.03869
38,1,3,3,0.056437
39,1,3,3,0.27246
40,1,2,3,0.071691
41,1,2,3,1.0218
42,1,2,3,0.1338
1,0,1,4,0.25157
2,0,1,4,0.47163
3,0,1,4,1.6183
4,0,1,4,0.25784
5,0,1,4,1.7927
6,0,1,4,0.21774
7,0,1,4,1.801
8,0,1,4,1.0343
9,0,1,4,1.788
10,0,1,4,0.092628
11,0,1,4,0.40699
12,0,1,4,0.5209
13,0,1,4,2.0365
14,0,1,4,0.89877
15,0,1,4,1.0652
16,0,1,4,0.19275
17,0,1,4,0.071946
18,0,1,4,0.5791
19,0,1,4,1.7104
20,0,1,4,0.20575
21,0,1,4,0.26386
22,0,2,4,0.58658
23,0,3,4,0.17724
24,0,2,4,0.82929
25,0,3,4,0.44434
26,0,2,4,0.19365
27,0,3,4,0.31607
28,0,3,4,0.019483
29,0,3,4,0.61135
30,0,3,4,0.27436
31,0,2,4,0.81131
32,0,2,4,1.1359
33,0,2,4,0.13154
34,0,2,4,0.12416
35,0,3,4,0.038341
36,0,2,4,0.070569
37,0,2,4,0.16059
38,0,2,4,0.1065
39,0,2,4,0.26899
40,0,3,4,0.14389
41,0,3,4,0.042259
42,0,3,4,0.98836
1,1,1,4,0.2743
2,1,1,4,5.2297
3,1,1,4,3.1959
4,1,1,4,0.04215
5,1,1,4,0.12026
6,1,1,4,0.15201
7,1,1,4,1.8659
8,1,1,4,0.59231
9,1,1,4,2.0727
10,1,1,4,0.061715
11,1,1,4,0.23892
12,1,1,4,0.38955
13,1,1,4,1.1158
14,1,1,4,0.37778
15,1,1,4,0.91313
16,1,1,4,0.087308
17,1,1,4,0.037256
18,1,1,4,0.48955
19,1,1,4,0.23828
20,1,1,4,0.12686
21,1,1,4,0.23764
22,1,3,4,0.50595
23,1,2,4,0.19885
24,1,3,4,0.14228
25,1,2,4,0.47194
26,1,3,4,0.29191
27,1,2,4,0.29913
28,1,2,4,0.10573
29,1,2,4,0.29618
30,1,2,4,0.75363
31,1,3,4,0.48084
32,1,3,4,0.051459
33,1,3,4,0.12157
34,1,3,4,0.051645
35,1,2,4,0.33222
36,1,3,4,0.24085
37,1,3,4,0.11742
38,1,3,4,0.015346
39,1,3,4,0.25572
40,1,2,4,0.13452
41,1,2,4,0.04761
42,1,2,4,0.55111
1,0,1,5,0.42892
2,0,1,5,2.4174
3,0,1,5,23.601
4,0,1,5,11.503
5,0,1,5,1.8705
6,0,1,5,2.2931
7,0,1,5,1.8379
8,0,1,5,2.3718
9,0,1,5,4.4432
10,0,1,5,1.2723
11,0,1,5,16.805
12,0,1,5,1.2107
13,0,1,5,1.963
14,0,1,5,0.64055
15,0,1,5,2.9455
16,0,1,5,2.233
17,0,1,5,1.8674
18,0,1,5,3.0303
19,0,1,5,6.8053
20,0,1,5,0.52872
21,0,1,5,0.57289
22,0,2,5,0.51467
23,0,3,5,0.29399
24,0,2,5,2.9707
25,0,3,5,0.082382
26,0,2,5,0.47858
27,0,3,5,1.5973
28,0,3,5,0.53721
29,0,3,5,0.46059
30,0,3,5,0
31,0,2,5,0.34941
32,0,2,5,1.4732
